# Supertokens for Spanish (30976 total, sorted by frequency)

cómo estás (2 atoms, 48 occurrences)
la vieja (2 atoms, 47 occurrences)
ayer por la (3 atoms, 46 occurrences)
toda la vida (3 atoms, 46 occurrences)
dónde estás (2 atoms, 46 occurrences)
qué está (2 atoms, 46 occurrences)
mala suerte (2 atoms, 46 occurrences)
para allá (2 atoms, 46 occurrences)
dolor de (2 atoms, 46 occurrences)
tratar de (2 atoms, 46 occurrences)
de ir (2 atoms, 45 occurrences)
tiempo libre (2 atoms, 45 occurrences)
ningún problema (2 atoms, 45 occurrences)
qué pasó (2 atoms, 45 occurrences)
de viaje (2 atoms, 45 occurrences)
con mucho (2 atoms, 45 occurrences)
en el aire (3 atoms, 45 occurrences)
que ver (2 atoms, 45 occurrences)
buscar a (2 atoms, 45 occurrences)
a las cinco (3 atoms, 44 occurrences)
por lo tanto (3 atoms, 44 occurrences)
no vas (2 atoms, 44 occurrences)
cada año (2 atoms, 44 occurrences)
algo con (2 atoms, 44 occurrences)
esperar a (2 atoms, 44 occurrences)
hace poco (2 atoms, 44 occurrences)
nos gusta (2 atoms, 44 occurrences)
pase lo que pase (4 atoms, 44 occurrences)
me olvidó (2 atoms, 44 occurrences)
rara vez (2 atoms, 43 occurrences)
un huevo (2 atoms, 43 occurrences)
tanto que (2 atoms, 43 occurrences)
tan pronto (2 atoms, 43 occurrences)
no pasa nada (3 atoms, 43 occurrences)
padre y (2 atoms, 43 occurrences)
vivir con (2 atoms, 43 occurrences)
y todos (2 atoms, 43 occurrences)
salir con (2 atoms, 43 occurrences)
y medio (2 atoms, 43 occurrences)
en secreto (2 atoms, 43 occurrences)
con el tiempo (3 atoms, 43 occurrences)
había nadie (2 atoms, 42 occurrences)
en voz alta (3 atoms, 42 occurrences)
por allá (2 atoms, 42 occurrences)
tú mismo (2 atoms, 42 occurrences)
de arriba (2 atoms, 42 occurrences)
le va (2 atoms, 42 occurrences)
más y más (3 atoms, 42 occurrences)
no me digas (3 atoms, 42 occurrences)
aire fresco (2 atoms, 42 occurrences)
a mano (2 atoms, 42 occurrences)
encuentra en (2 atoms, 42 occurrences)
a un lado (3 atoms, 42 occurrences)
que irnos (2 atoms, 41 occurrences)
hijo mío (2 atoms, 41 occurrences)
qué bien (2 atoms, 41 occurrences)
casa se (2 atoms, 41 occurrences)
trabajo para (2 atoms, 41 occurrences)
por hoy (2 atoms, 41 occurrences)
al final de (3 atoms, 41 occurrences)
damas y (2 atoms, 41 occurrences)
todos los (2 atoms, 41 occurrences)
