# Supertokens for Korean (4299 total, sorted by frequency)

지 얼마나 (2 atoms, 9 occurrences)
걸 어떻게 (2 atoms, 9 occurrences)
또 뭐야 (2 atoms, 9 occurrences)
절대 안 (2 atoms, 9 occurrences)
뭘하고 (3 atoms, 9 occurrences)
무슨 일로 (2 atoms, 9 occurrences)
기분이 (2 atoms, 9 occurrences)
순 없어 (2 atoms, 9 occurrences)
왜 내가 (2 atoms, 9 occurrences)
살 수 (2 atoms, 9 occurrences)
꼼짝 마 (2 atoms, 9 occurrences)
있는 거 (2 atoms, 9 occurrences)
그 여자는 (2 atoms, 9 occurrences)
할 건가 (2 atoms, 9 occurrences)
말 좀 (2 atoms, 9 occurrences)
어떻게 알아 (2 atoms, 9 occurrences)
이 녀석 (2 atoms, 9 occurrences)
대체 왜 (2 atoms, 9 occurrences)
하루 종일 (2 atoms, 9 occurrences)
바보 같은 (2 atoms, 9 occurrences)
이길 수 (2 atoms, 9 occurrences)
더 많은 (2 atoms, 9 occurrences)
거 같은데 (2 atoms, 9 occurrences)
지금 몇 (2 atoms, 9 occurrences)
몇 명이나 (2 atoms, 9 occurrences)
첫 번째 (2 atoms, 9 occurrences)
뭘 할 (2 atoms, 9 occurrences)
이 근처에 (2 atoms, 9 occurrences)
저리가 (3 atoms, 9 occurrences)
수 있죠 (2 atoms, 9 occurrences)
어디 있나 (2 atoms, 8 occurrences)
내가 안 (2 atoms, 8 occurrences)
그만 해 (2 atoms, 8 occurrences)
된 거야 (2 atoms, 8 occurrences)
넌 또 (2 atoms, 8 occurrences)
수 있겠나 (2 atoms, 8 occurrences)
원하는 게 (2 atoms, 8 occurrences)
무슨 일인지 (2 atoms, 8 occurrences)
그리고 내 (2 atoms, 8 occurrences)
거 아니지 (2 atoms, 8 occurrences)
같이 갈 (2 atoms, 8 occurrences)
이 책은 (2 atoms, 8 occurrences)
같은 건 (2 atoms, 8 occurrences)
뭐 해요 (2 atoms, 8 occurrences)
있는 건 (2 atoms, 8 occurrences)
이게 바로 (2 atoms, 8 occurrences)
되는 거야 (2 atoms, 8 occurrences)
싶지 않아 (2 atoms, 8 occurrences)
왜 항상 (2 atoms, 8 occurrences)
무슨 일이야 (2 atoms, 8 occurrences)
그런 짓을 (2 atoms, 8 occurrences)
못 들었어 (2 atoms, 8 occurrences)
가는 거지 (2 atoms, 8 occurrences)
안하고 (3 atoms, 8 occurrences)
여기 있다 (2 atoms, 8 occurrences)
안 될까 (2 atoms, 8 occurrences)
있는 거야 (2 atoms, 8 occurrences)
저 자식 (2 atoms, 8 occurrences)
수 있겠니 (2 atoms, 8 occurrences)
할 거예요 (2 atoms, 8 occurrences)
안가 (3 atoms, 8 occurrences)
보고 싶어요 (2 atoms, 8 occurrences)
더 필요해 (2 atoms, 8 occurrences)
여기서 뭐 (2 atoms, 8 occurrences)
엄마가 (2 atoms, 8 occurrences)
한 거지 (2 atoms, 8 occurrences)
여기 있어요 (2 atoms, 8 occurrences)
그럴 수 (2 atoms, 8 occurrences)
어디 계세요 (2 atoms, 8 occurrences)
하나, 둘, 셋 (5 atoms, 8 occurrences)
안 들려 (2 atoms, 8 occurrences)
적이 있나요 (2 atoms, 8 occurrences)
안 하면 (2 atoms, 8 occurrences)
내가 아는 (2 atoms, 8 occurrences)
그럼 왜 (2 atoms, 8 occurrences)
필요한 거 (2 atoms, 8 occurrences)
뭐 야 (3 atoms, 8 occurrences)
어디 가는 (2 atoms, 8 occurrences)
왜 그러니 (2 atoms, 8 occurrences)
내 아들 (2 atoms, 8 occurrences)
줄 아나 (2 atoms, 8 occurrences)
그게 왜 (2 atoms, 8 occurrences)
언제부터 (2 atoms, 8 occurrences)
말 안 했어 (3 atoms, 8 occurrences)
가지고 있다 (2 atoms, 8 occurrences)
입고 있어 (2 atoms, 8 occurrences)
나는 그 (2 atoms, 8 occurrences)
다시 한번 (2 atoms, 8 occurrences)
그런 거야 (2 atoms, 8 occurrences)
너 같은 (2 atoms, 8 occurrences)
그게 뭐야 (2 atoms, 8 occurrences)
만날 수 (2 atoms, 8 occurrences)
몇 년 (2 atoms, 8 occurrences)
여긴 왜 (2 atoms, 8 occurrences)
게 어때 (2 atoms, 8 occurrences)
거 알아 (2 atoms, 8 occurrences)
왜 이런 (2 atoms, 8 occurrences)
너 진짜 (2 atoms, 8 occurrences)
이제 와서 (2 atoms, 8 occurrences)
그런 게 (2 atoms, 8 occurrences)
전부 다 (2 atoms, 8 occurrences)
대체 뭘 (2 atoms, 8 occurrences)
차 좀 (2 atoms, 8 occurrences)
더 크게 (2 atoms, 8 occurrences)
누구 요 (3 atoms, 8 occurrences)
두 번째 (2 atoms, 8 occurrences)
이 개새끼야 (2 atoms, 8 occurrences)
걸 알고 (2 atoms, 8 occurrences)
어찌 된 (2 atoms, 8 occurrences)
하지만 난 (2 atoms, 8 occurrences)
뭐가 문제야 (2 atoms, 8 occurrences)
적이 없다 (2 atoms, 8 occurrences)
알고 있다 (2 atoms, 8 occurrences)
다같이 (3 atoms, 8 occurrences)
그럼 넌 (2 atoms, 8 occurrences)
될 거야 (2 atoms, 8 occurrences)
한 번만 (2 atoms, 7 occurrences)
저기 봐 (2 atoms, 7 occurrences)
야, 너 (3 atoms, 7 occurrences)
몇 번 (2 atoms, 7 occurrences)
야,이 (4 atoms, 7 occurrences)
바로 그 (2 atoms, 7 occurrences)
나는이 (3 atoms, 7 occurrences)
본 적 (2 atoms, 7 occurrences)
도대체 무슨 (2 atoms, 7 occurrences)
그럼 어떻게 (2 atoms, 7 occurrences)
그는 내 (2 atoms, 7 occurrences)
은 어때 (2 atoms, 7 occurrences)
있는 건가 (2 atoms, 7 occurrences)
것 같죠 (2 atoms, 7 occurrences)
말할 수 (2 atoms, 7 occurrences)
있는 건 (2 atoms, 7 occurrences)
넌 내 (2 atoms, 7 occurrences)
좀 들어 (2 atoms, 7 occurrences)
뭐 하는 (2 atoms, 7 occurrences)
무슨 짓이야 (2 atoms, 7 occurrences)
줄 알지 (2 atoms, 7 occurrences)
알고 있지 (2 atoms, 7 occurrences)
좀 줄래 (2 atoms, 7 occurrences)
몇 명 (2 atoms, 7 occurrences)
아까 그 (2 atoms, 7 occurrences)
거 있어 (2 atoms, 7 occurrences)
