# Supertokens for English (204609 total, sorted by frequency)

which one (2 atoms, 68 occurrences)
some people (2 atoms, 68 occurrences)
be there (2 atoms, 68 occurrences)
in order to (3 atoms, 67 occurrences)
your mom (2 atoms, 67 occurrences)
in the middle of (4 atoms, 67 occurrences)
in the house (3 atoms, 67 occurrences)
what do you mean (4 atoms, 67 occurrences)
something else (2 atoms, 67 occurrences)
on the phone (3 atoms, 67 occurrences)
pay for (2 atoms, 66 occurrences)
make me (2 atoms, 66 occurrences)
that girl (2 atoms, 66 occurrences)
on the beach (3 atoms, 66 occurrences)
am going to (3 atoms, 66 occurrences)
what else (2 atoms, 65 occurrences)
on the ground (3 atoms, 65 occurrences)
go back (2 atoms, 64 occurrences)
come home (2 atoms, 64 occurrences)
a couple of (3 atoms, 64 occurrences)
the rest (2 atoms, 64 occurrences)
best friend (2 atoms, 64 occurrences)
to death (2 atoms, 63 occurrences)
the boys (2 atoms, 63 occurrences)
in jail (2 atoms, 63 occurrences)
you tell me (3 atoms, 63 occurrences)
that one (2 atoms, 63 occurrences)
last time (2 atoms, 62 occurrences)
think you should (3 atoms, 62 occurrences)
at last (2 atoms, 62 occurrences)
to do with (3 atoms, 62 occurrences)
the end (2 atoms, 62 occurrences)
used to (2 atoms, 61 occurrences)
play with (2 atoms, 61 occurrences)
far away (2 atoms, 61 occurrences)
they say (2 atoms, 60 occurrences)
after all (2 atoms, 60 occurrences)
look for (2 atoms, 60 occurrences)
at work (2 atoms, 60 occurrences)
who are you (3 atoms, 59 occurrences)
I see you (3 atoms, 59 occurrences)
fuck you (2 atoms, 59 occurrences)
a student (2 atoms, 59 occurrences)
so what (2 atoms, 59 occurrences)
get there (2 atoms, 59 occurrences)
ask for (2 atoms, 58 occurrences)
as much (2 atoms, 58 occurrences)
even if (2 atoms, 58 occurrences)
back home (2 atoms, 58 occurrences)
you hear me (3 atoms, 58 occurrences)
or what (2 atoms, 58 occurrences)
come over (2 atoms, 58 occurrences)
brother is (2 atoms, 57 occurrences)
plenty of (2 atoms, 57 occurrences)
let go (2 atoms, 57 occurrences)
open the door (3 atoms, 57 occurrences)
take off (2 atoms, 57 occurrences)
at the end of (4 atoms, 56 occurrences)
thanks to (2 atoms, 56 occurrences)
from time to time (4 atoms, 56 occurrences)
I tell you (3 atoms, 56 occurrences)
say that (2 atoms, 56 occurrences)
many times (2 atoms, 56 occurrences)
down there (2 atoms, 56 occurrences)
get in (2 atoms, 56 occurrences)
a bit of (3 atoms, 55 occurrences)
a thousand (2 atoms, 55 occurrences)
