ABC순	ABC	순
가로놓이다	가로	놓이다
가로누이다	가로	누이다
가로눕다	가로	눕다
가로등	한자어 ‘街路燈, 街路	燈’에서 유래.
가로막	가로	막
가로막다	가로	막다
가로막히다	가로	막히다. '가로막다'의 피동사
가로망	한자어 ‘街路網, 街路	網’에서 유래.
가로맡다	가로	맡다
가로무늬	가로	무늬
가로새다	가로	새다
가로서다	가로	서다
가로선	가로	선
가로세로	가로	세로
가로수	한자어 ‘街路	樹’에서 유래.
가로쓰기	가로	쓰	기
가로지르다	가로	지르다
가로채다	가로	채다
가로축	가로	축
가루눈	가루	눈
가루비누	가루	비누
가루약	가루	약
가루우유	가루	우유
가루젓	가루	젖
가르랑가르랑	가르랑	가르랑
가르랑거리다	가르랑	거리다
가르랑대다	가르랑	대다
가르맛길	가르마	ㅅ	길
가르침	가르치	ㅁ
가름	가르	ㅁ
가름대	가름	대
가름하다	가름	하다
가리가리	가리	가리
가리어지다	가리어	지다
가린하다	가린	하다
가마노르께하다	가마노르께	하다
가마득하다	가마득	하다
가마마차	가마	마차
가마말쑥하다	가마말쑥	하다
가마무트름하다	가마무트름	하다
가마반드르하다	가마반드르	하다
가마반지르하다	가마반지르	하다
가마솥	가마	솥
가마아득하다	가마아득	하다
가마아득히	가마아득	히
가마우리하다	가마우리	하다
가마푸르레하다	가마푸르레	하다
가막사리	가막	사리
가막살나무	가막	살	나무
가막조개	가막	조개
가만가만	가만	가만
가만있다	가만	있다
가만하다	가만	하다
가만히	가만	히
가매장	가	매장
가맹점	가맹	점
가면극	가면	극
가면무도회	가면	무도회
가면올빼미	가면	올빼미
가무께하다	가무께	하다
가무끄름하다	가무끄름	하다
가무대대하다	가무대대	하다
가무댕댕하다	가무댕댕	하다
가무레하다	가무레	하다
가무숙숙하다	가무숙숙	하다
가무스레하다	가무스레	하다
가무스름하다	가무스름	하다
가무이야기	가무	이야기
가무잡잡하다	가무잡잡	하다
가무족족하다	가무족족	하다
가무총총하다	가무총총	하다
가무칙칙하다	가무칙칙	하다
가무퇴퇴하다	가무퇴퇴	하다
가무트름하다	가무트름	하다
가무트름히	가무트름	히
가무파리하다	가무파리	하다
가문비나무	가문비	나무
가문서	가	문서=가짜문서
가물가물	가물	가물
가물가물하다	가물가물	하다
가물거리다	가물	거리다
가물대다	가물	대다
가뭄	가물	ㅁ
가뭄해	가뭄	해
가뭇가뭇	가뭇	가뭇
가뭇가뭇하다	가뭇가뭇	하다
가뭇하다	가뭇	하다
가변적	가변	적
가부간	가부	간
가부장적	가부장	적
가분가분히	가분가분	히
가분수	가	분수
가분하다	가분	하다
가불거리다	가불	거리다
가불대다	가불	대다
가붓하다	가붓	하다
가빈하다	가빈	하다
가뿐가뿐	가뿐	가뿐
가뿐가뿐하다	가뿐가뿐	하다
가뿐하다	가뿐	하다
가뿟하다	가뿟	하다
가사 노동	가사	노동
가산명사	가산	명사
가상운동	가상	운동
가상적	가상	적
가상하다	가상	하다
가석방	가	석방
가석방되다	가석방	되다
가석방하다	가석방	하다
가석하다	가석	하다
가설되다	가설	되다.
가설법	가설	법
가설하다	가설	하다.
가성소다	가성	소다
가세하다	가세	하다
가소롭다	가소	롭다
가속도	가	속도
가속도운동	가속도	운동
가속운동	가속	운동
가속하다	가속	하다
가속화하다	가속화	하다
가수분해	가수	분해
가숭어	가	숭어
가스관	가스	관
가스랑거리다	가스랑	거리다
가스랑대다	가스랑	대다
가스스하다	가스스	하다
가스실	가스	실.
가스아바이	가스	아바이
가스용기	가스	용기
가스전구	가스	전구
가슴대개	가슴	대 < 대다	개
가슴던지기	가슴	던지기
가슴띠	가슴	띠
가슴련락	가슴	연락
가슴막	가슴	막
가슴멈추기	가슴	멈추기 < 멈추다
가슴벽	가슴	벽
가슴뼈	가슴	뼈
가슴살	가슴	살
가슴속	가슴	속
가슴앓이	가슴	앓이
가슴주머니	가슴	주머니
가슴츠레하다	가슴츠레	하다
가슴팍	가슴	팍
가슴헤염	가슴	헤염
가습기	가습	기
가승하다	가승	하다
가시거리	가시	거리
가시고기	가시	고기
가시나무	가시	나무
가시납지리	가시	납지리
가시대	가시	대
가시밭길	가시밭	길
가시부리새	가시	부리	새
가시비름	가시	비름
가시상추	가시	상추
가시아버지	가시	아버지
가시어머니	가시	어머니
가시영상	가시	영상
가시오갈피	가시	오갈피
가시장	가시	장
가시집	가시	집
가시철사	가시	철사
가시칠엽수	가시	칠엽수
가시파래	가시	파래
가시화하다	가시화	하다
가식적	가식	적
가식하다	가식	하다
가압류	가	압류 < 일본어 假差し押さえ
가야국	한자 伽倻國. < 가야	국
가야금	가야	금
가얏고	가야	ㅅ	고
가없다	가	없다
가없이	가없	이
가연성	가연	성
