Arizonien	Arizona	ien
Ariégeois	Ariège	ois
Arkansasais	Arkansas	ais
Arkansasien	Arkansas	ien
Arlonais	Arlon	ais
Arlonnais	Arlon	ais
Armagnacot	Armagnac	ot
Armandine	Armand	ine
Armoricain	Armorique	ain
Arménien	Arménie	en
Arménienne	Arménie	en	e
Arméniennes	Arménienne	s
Arméniens	Arménie	en	s
Arnacois	Arnac	ois
Artagnanais	Artagnan	ais
Artagnanaise	Artagnan	aise
Artésienne	Artésien	e
Artésiennes	Artésienne	s
Artésiens	Artésien	s
Arveyrais	Arveyres	ais
Aryen	Arya	en
Arésien	Arès	ien
Asiatiques	Asiatique	s
Asio-Américain	asio	Amérique	ain
Asnierois	Asnières	ois
Asnièrois	Asnières	ois
Asniérois	Asnières	ois
Aspachois	Aspach	ois
Asperjocois	Asperjoc	ois
Aspinaurois	Aspin-Aure	ois
Aspèrois	Aspères	ois
Aspéramontais	Aspremont	ois
Aspétois	Aspet	ois
Asquais	Asques	ais
Assien	Assos	ien
Assomptionnais	Assomption	ais
Assomptionnaise	Assomption	ais
Assomptionniste	Assomption	iste
Asturienne	Asturien	e
Asturiennes	Asturienne	s
Asturiens	Asturien	s
Astéracées	aster	acé
Athois	Ath	ois
Athénien	Athènes	ien
Athénienne	Athènes	ien	e
Athéniennes	Athénienne	s
Athéniens	Athènes	ien	s
Aubervillais	Auberville	ais
Aubignois	Aubigny	ois
Aubois	Aube	ois
Aubryen	Aubry	en
Aubrysien	Aubry	ien
Aucunois	Aucun	ois
Aucunoise	Aucun	ois	e
Aucunoises	Aucunoise	s
Aude-Marie	Aude	Marie
Augustine	Augustin	e
Aunisien	Aunis	ien
Auriacais	Auriac	ais
Auriacois	Auriac	ois
Australienne	Australien	e
Australiennes	Australienne	s
Australiens	Australien	s
Auterivain	Auterive	ain
Auterivais	Auterive	ais
Auterivois	Auterive	ois
Auteuillois	Auteuil	ois
Auteuilois	Auteuil	ois
Autheuillois	Autheuil	ois
Autheusien	Autheux	ien
Authevernois	Authevernes	ois
Authieulois	Authieule	ois
Authonais	Authon	ais
Authonien	Authon	ien
Authonier	Authon	ier
Authonnais	Authon	ais
Authonnier	Authon	ier
Authonois	Authon	ois
Autriche-Hongrie	Autriche	Hongrie
Autrichien	Autriche	ien
Autrichienne	Autriche	ien	e
Autrichiennes	Autrichienne	s
Autrichiens	Autriche	ien	s
Autruchien	Autruche	ien
Autunois	Autun	ois
Auvarois	Auvare	ois
Auvergnate	Auvergnat	e
Auvergnates	Auvergnate	s
Auvergnats	Auvergnat	s
Auvergne-Rhône-Alpes	Auvergne	Rhône-Alpes
Auversois	Auvers	ois
Auxerrois	Auxerre	ois
Auzacien	Auzay	ien
Auzainvillarais	Auzainvilliers	ais
Auzançais	Auzances	ais
Auzasien	Auzas	ien
Auzatois	Auzat	ois
Auzeboscais	Auzebosc	ais
Auzellois	Auzelles	ois
Auzetan	Auzet	an
Auzevillois	Auzeville	ois
Auziellois	Auzielle	ois
Auzitois	Auzits	ois
Auzonnais	Auzon	ais
Avajanois	Avajan	ois
Avelinois	Avelin	ais
Avenaysien	Avenay	ien
Avensacais	Avensac	ais
Avensannais	Avensan	ais
Aventignanais	Aventignan	ais
Aventinois	Aventin	ois
Averanois	Averan	ois
Averdoingtois	Averdoingt	ois
Averdonnais	Averdon	ais
Avermois	Avermes	ois
Avernois	Avernes	ois
Avesnois	Avesnes	ois
Avessacais	Avessac	ais
Avesséen	Avessé	en
Aveusien	Aveux	ien
Aveyronnais	Aveyron	ais
Aveyronnaise	Aveyron	ais	e
Aveyronnaises	Aveyronnaise	s
Avezanois	Avezan	ois
Avezol	Avèze	ol
Avezéen	Avezé	en
Avignonetain	Avignonet	ain
Avignonetin	Avignonet	in
Avignonnais	Avignon	ais
Avignonnaise	Avignon	ais	e
Avignonnaises	Avignonnaise	s
Avignonétain	Avignonet	ain
Avillerois	Avillers	ais
Avillersois	Avillers	ois
Avionnais	Avion	ais
Avironnais	Aviron	ais
Aviréen	Aviré	en
Avoinais	Avoine	ais
Avoisien	Avoise	ien
Avolsheimois	Avolsheim	ois
Avondançois	Avondance	ois
Avonnais	Avon	ais
Avrainvillois	Avrainville	ois
Avranchais	Avranches	ais
Avranchin	Avranches	in
Avranchinais	Avranches	in	ais
